,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
1467,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/23/2005,05/31/2005,
1468,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/23/2005,05/23/2005,
1469,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/27/2007,04/03/2007,
1470,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/23/2005,06/01/2005,
1471,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/23/2005,05/31/2005,
1472,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,279.C,Standards for Used Oil: Generators,S  ,05/23/2005,05/31/2005,
1473,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,02/27/2007,04/23/2007,
1474,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/23/2005,06/22/2005,
1475,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,05/23/2005,01/23/2006,
1476,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/23/2005,05/31/2005,
1477,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/05/2006,05/05/2006,
1478,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/05/2006,08/17/2006,
1479,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/05/2006,08/03/2006,
1480,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/05/2006,08/21/2006,
1481,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,279.C,Standards for Used Oil: Generators,S  ,05/05/2006,05/08/2006,
1482,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/05/2006,05/18/2006,
1483,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,262.A,Standards Applicable to Generators of HW: General,S  ,05/05/2006,07/20/2006,
1484,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/05/2006,08/03/2006,
1485,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/22/1996,04/14/1997,
1486,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/22/1996,04/14/1997,
1487,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/08/2009,04/09/2009,
1488,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,01/08/2009,04/09/2009,
1489,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,262.A,Standards Applicable to Generators of HW: General,S  ,07/22/1996,04/14/1997,
1490,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,07/22/1996,04/14/1997,
1491,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,07/22/1996,04/14/1997,
1492,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/08/2009,04/09/2009,
1493,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,07/22/1996,04/14/1997,
1494,TAYLOR METALS,30.361944,-81.697222,http://echo.epa.gov/detailed-facility-report?fid=110005640039,FLR000027771,FL,279.C,Standards for Used Oil: Generators,S  ,02/05/1997,03/13/1997,03/13/1997
1495,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/12/1997,11/23/1997,10/27/1997
1496,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,06/30/1999,01/11/2000,
1497,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/30/1999,11/30/1999,
1498,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,279.C,Standards for Used Oil: Generators,S  ,09/12/1997,11/23/1997,10/27/1997
1499,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/09/2012,06/20/2012,
1500,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,261.A,ID and Listing of HW: General,S  ,02/09/2012,06/20/2012,
1501,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,262.A,Standards Applicable to Generators of HW: General,S  ,09/12/1997,03/27/1998,10/27/1997
1502,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,279.C,Standards for Used Oil: Generators,S  ,06/30/1999,11/30/1999,
1503,CITGO LUBE,30.386458,-81.675286,http://echo.epa.gov/detailed-facility-report?fid=110005651678,FLR000047829,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/11/2012,04/11/2012,
1504,CITGO LUBE,30.386458,-81.675286,http://echo.epa.gov/detailed-facility-report?fid=110005651678,FLR000047829,FL,279.C,Standards for Used Oil: Generators,S  ,04/11/2012,05/03/2012,
1505,BOHANNON BATTERY DISTRIBUTORS,29.655170000000002,-81.66233000000003,http://echo.epa.gov/detailed-facility-report?fid=110043654943,FLR000176008,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/27/2011,06/06/2011,
1506,CITY OF SANFORD - PUBLIC WORKS COMPLEX,28.81355,-81.2761,http://echo.epa.gov/detailed-facility-report?fid=110055927662,FLR000202374,FL,279.C,Standards for Used Oil: Generators,S  ,08/26/2013,09/18/2013,
1507,CITY OF SANFORD - PUBLIC WORKS COMPLEX,28.81355,-81.2761,http://echo.epa.gov/detailed-facility-report?fid=110055927662,FLR000202374,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/26/2013,09/18/2013,
1508,GLASS MASTERS,30.389334,-81.677588,http://echo.epa.gov/detailed-facility-report?fid=110002519855,FL0000445767,FL,262.A,Standards Applicable to Generators of HW: General,S  ,09/24/1987,11/02/1987,
1509,WESTSIDE AUTOMOTIVE INC,30.30159,-81.73053,http://echo.epa.gov/detailed-facility-report?fid=110002531127,FLD045978194,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/11/2011,03/10/2011,
1510,WESTSIDE AUTOMOTIVE INC,30.30159,-81.73053,http://echo.epa.gov/detailed-facility-report?fid=110002531127,FLD045978194,FL,279.C,Standards for Used Oil: Generators,S  ,01/11/2011,01/11/2011,
1511,WESTSIDE AUTOMOTIVE INC,30.30159,-81.73053,http://echo.epa.gov/detailed-facility-report?fid=110002531127,FLD045978194,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/11/2011,01/11/2011,
1512,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,268.A,Land Disposal Restrictions: General,S  ,05/16/1990,01/04/1991,
1513,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,05/05/1994,07/07/1994,
1514,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.E,"Standards for Owners and Operators of HW TSDs: Manifest System, Recordkeeping and Reporting",S  ,07/28/1993,08/24/1993,
1515,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,268.A,Land Disposal Restrictions: General,S  ,05/17/1989,06/13/1989,
1516,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,268.A,Land Disposal Restrictions: General,S  ,05/05/1994,05/05/1994,
1517,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,PCR,Violation of a permit condition or requirement,S  ,05/05/1994,05/05/1994,
1518,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,07/17/1992,10/05/1992,
1519,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,10/30/1991,12/09/1991,
1520,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,268.A,Land Disposal Restrictions: General,S  ,07/28/1993,08/24/1993,
1521,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,01/31/1992,03/06/1992,
1522,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,02/01/1991,02/12/1991,
1523,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,03/10/2011,06/02/2011,
1524,ASHLAND CHEMICAL INC,30.34458,-81.707239,http://echo.epa.gov/detailed-facility-report?fid=110032747400,FLD079859492,FL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,05/17/1989,06/13/1989,
1525,BRITISH MOTORS,30.334305999999998,-81.601833,http://echo.epa.gov/detailed-facility-report?fid=110002548244,FLD981750185,FL,262.A,Standards Applicable to Generators of HW: General,S  ,01/05/2009,03/05/2009,
1526,BRITISH MOTORS,30.334305999999998,-81.601833,http://echo.epa.gov/detailed-facility-report?fid=110002548244,FLD981750185,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/05/2009,03/05/2009,
1527,BRITISH MOTORS,30.334305999999998,-81.601833,http://echo.epa.gov/detailed-facility-report?fid=110002548244,FLD981750185,FL,261.A,ID and Listing of HW: General,S  ,01/05/2009,03/05/2009,
1528,CEMEX CONSTRUCTION MATERIALS FL LLC-LOCKHART READY-MIX PLANT,28.612999,-81.429625,http://echo.epa.gov/detailed-facility-report?fid=110054827292,FLD981857279,FL,262.A,Standards Applicable to Generators of HW: General,S  ,08/17/2012,08/22/2012,
1529,CEMEX CONSTRUCTION MATERIALS FL LLC-LOCKHART READY-MIX PLANT,28.612999,-81.429625,http://echo.epa.gov/detailed-facility-report?fid=110054827292,FLD981857279,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,08/17/2012,08/17/2012,
1530,CEMEX CONSTRUCTION MATERIALS FL LLC-LOCKHART READY-MIX PLANT,28.612999,-81.429625,http://echo.epa.gov/detailed-facility-report?fid=110054827292,FLD981857279,FL,279.C,Standards for Used Oil: Generators,S  ,08/17/2012,08/22/2012,
1531,EAST COAST INDUSTRIAL EQUIPMENT,30.33655,-81.67685,http://echo.epa.gov/detailed-facility-report?fid=110043667500,FLD981858897,FL,261.A,ID and Listing of HW: General,S  ,05/03/2011,06/05/2011,
1532,SOUTHEAST FIRE SPRINKLERS INC,28.80774000000001,-81.29888199999998,http://echo.epa.gov/detailed-facility-report?fid=110005592233,FLD982174278,FL,268.A,Land Disposal Restrictions: General,S  ,12/07/1988,12/08/1988,
1533,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,FLD984171165,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/20/2010,03/14/2011,
1534,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,FLD984171165,FL,263.B,Standards Applicable to Transporters of HW: Compliance with the Manifest System and Recordkeeping,S  ,10/09/2001,10/10/2001,
1535,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,FLD984171165,FL,264.E,"Standards for Owners and Operators of HW TSDs: Manifest System, Recordkeeping and Reporting",S  ,10/09/2001,11/26/2001,
1536,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,FLD984171165,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,06/26/2007,02/12/2008,
1537,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,FLD984171165,FL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,10/12/1992,10/23/1992,
1538,BRIDGESTONE FIRESTONE INC,28.811697,-81.273391,http://echo.epa.gov/detailed-facility-report?fid=110005624636,FLD984258301,FL,279.C,Standards for Used Oil: Generators,S  ,08/26/2013,01/21/2014,
1539,BRIDGESTONE FIRESTONE INC,28.811697,-81.273391,http://echo.epa.gov/detailed-facility-report?fid=110005624636,FLD984258301,FL,262.A,Standards Applicable to Generators of HW: General,S  ,08/26/2013,10/25/2013,
1540,THE RECOVERY ROOM OF CENTRAL FLORIDA,28.64712,-81.46259,http://echo.epa.gov/detailed-facility-report?fid=110005638293,FLR000024463,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/02/2007,04/18/2007,
1541,THE RECOVERY ROOM OF CENTRAL FLORIDA,28.64712,-81.46259,http://echo.epa.gov/detailed-facility-report?fid=110005638293,FLR000024463,FL,262.A,Standards Applicable to Generators of HW: General,S  ,02/02/2007,04/18/2007,
1542,THE RECOVERY ROOM OF CENTRAL FLORIDA,28.64712,-81.46259,http://echo.epa.gov/detailed-facility-report?fid=110005638293,FLR000024463,FL,279.C,Standards for Used Oil: Generators,S  ,02/02/2007,04/18/2007,
1543,KINGS CLEANERS,30.329155,-81.586745,http://echo.epa.gov/detailed-facility-report?fid=110001762539,FLR000040394,FL,261.A,ID and Listing of HW: General,S  ,06/29/2006,07/12/2006,
1544,KINGS CLEANERS,30.329155,-81.586745,http://echo.epa.gov/detailed-facility-report?fid=110001762539,FLR000040394,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,06/29/2006,07/12/2006,
1545,NUMBER ONE AUTO REPAIR,30.371694,-81.651611,http://echo.epa.gov/detailed-facility-report?fid=110012577728,FLR000086082,FL,262.A,Standards Applicable to Generators of HW: General,S  ,05/31/2012,10/11/2012,
1546,NUMBER ONE AUTO REPAIR,30.371694,-81.651611,http://echo.epa.gov/detailed-facility-report?fid=110012577728,FLR000086082,FL,279.C,Standards for Used Oil: Generators,S  ,05/31/2012,10/11/2012,
1547,NUMBER ONE AUTO REPAIR,30.371694,-81.651611,http://echo.epa.gov/detailed-facility-report?fid=110012577728,FLR000086082,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/31/2012,10/11/2012,
1548,ALL PRO PAINT & BODY,29.636983,-82.326643,http://echo.epa.gov/detailed-facility-report?fid=110027963425,FLR000134171,FL,261.A,ID and Listing of HW: General,S  ,12/04/2006,08/31/2007,
1549,ALL PRO PAINT & BODY,29.636983,-82.326643,http://echo.epa.gov/detailed-facility-report?fid=110027963425,FLR000134171,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,12/04/2006,11/26/2007,
1550,ALL PRO PAINT & BODY,29.636983,-82.326643,http://echo.epa.gov/detailed-facility-report?fid=110027963425,FLR000134171,FL,PCR,Violation of a permit condition or requirement,S  ,12/04/2006,11/26/2007,
1551,ALL PRO PAINT & BODY,29.636983,-82.326643,http://echo.epa.gov/detailed-facility-report?fid=110027963425,FLR000134171,FL,261.A,ID and Listing of HW: General,S  ,02/09/2010,04/01/2010,
1552,JACKSONVILLE FIRE AND RESCUE DEPARTMENT,30.321784,-81.74352900000002,http://echo.epa.gov/detailed-facility-report?fid=110041663580,FLR000164756,FL,279.C,Standards for Used Oil: Generators,S  ,03/08/2010,05/21/2010,
1553,JACKSONVILLE FIRE AND RESCUE DEPARTMENT,30.321784,-81.74352900000002,http://echo.epa.gov/detailed-facility-report?fid=110041663580,FLR000164756,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/08/2010,05/21/2010,
1554,JACKSONVILLE FIRE AND RESCUE DEPARTMENT,30.321784,-81.74352900000002,http://echo.epa.gov/detailed-facility-report?fid=110041663580,FLR000164756,FL,261.A,ID and Listing of HW: General,S  ,03/08/2010,05/21/2010,
1555,ALL IN ONE AUTO REPAIRS,28.80198,-81.26489000000002,http://echo.epa.gov/detailed-facility-report?fid=110043536714,FLR000174425,FL,261.A,ID and Listing of HW: General,S  ,01/27/2011,05/27/2011,
1556,ALL IN ONE AUTO REPAIRS,28.80198,-81.26489000000002,http://echo.epa.gov/detailed-facility-report?fid=110043536714,FLR000174425,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/27/2011,05/27/2011,
1557,BUCHHOLZ PAINT & AUTO BODY INC,29.69978,-82.27122,http://echo.epa.gov/detailed-facility-report?fid=110070207566,FLR000224535,FL,279.C,Standards for Used Oil: Generators,S  ,06/26/2018,07/20/2018,
1558,BECK CHEVROLET BUICK GMC,29.649292,-81.64606500000002,http://echo.epa.gov/detailed-facility-report?fid=110008323858,FLD032633042,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/23/2007,07/19/2007,
1559,BECK CHEVROLET BUICK GMC,29.649292,-81.64606500000002,http://echo.epa.gov/detailed-facility-report?fid=110008323858,FLD032633042,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,05/23/2007,07/19/2007,
1560,BECK CHEVROLET BUICK GMC,29.649292,-81.64606500000002,http://echo.epa.gov/detailed-facility-report?fid=110008323858,FLD032633042,FL,262.A,Standards Applicable to Generators of HW: General,S  ,05/23/2007,07/19/2007,
1561,BECK CHEVROLET BUICK GMC,29.649292,-81.64606500000002,http://echo.epa.gov/detailed-facility-report?fid=110008323858,FLD032633042,FL,279.C,Standards for Used Oil: Generators,S  ,05/23/2007,07/19/2007,
1562,"GENERAL TRUCK EQUIP & TRAILER SALES, INC",30.331879999999998,-81.737367,http://echo.epa.gov/detailed-facility-report?fid=110002533483,FLD058494667,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,06/28/2005,12/28/2005,
1563,"GENERAL TRUCK EQUIP & TRAILER SALES, INC",30.331879999999998,-81.737367,http://echo.epa.gov/detailed-facility-report?fid=110002533483,FLD058494667,FL,279.C,Standards for Used Oil: Generators,S  ,06/28/2005,12/28/2005,
1564,"GENERAL TRUCK EQUIP & TRAILER SALES, INC",30.331879999999998,-81.737367,http://echo.epa.gov/detailed-facility-report?fid=110002533483,FLD058494667,FL,265.A,Interim Status Standards for Owners and Operators of HW TSDs: General,S  ,06/28/2005,12/28/2005,
1565,"GENERAL TRUCK EQUIP & TRAILER SALES, INC",30.331879999999998,-81.737367,http://echo.epa.gov/detailed-facility-report?fid=110002533483,FLD058494667,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/28/2005,12/28/2005,
1566,"GENERAL TRUCK EQUIP & TRAILER SALES, INC",30.331879999999998,-81.737367,http://echo.epa.gov/detailed-facility-report?fid=110002533483,FLD058494667,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,06/28/2005,12/28/2005,
1567,"BRENNTAG MID-SOUTH, INC.",30.36818,-81.713027,http://echo.epa.gov/detailed-facility-report?fid=110000511358,FLD106485816,FL,262.A,Standards Applicable to Generators of HW: General,S  ,01/22/1987,03/13/1987,
1568,"A & L ART AND FRAMES, INC.",28.820117,-81.330055,http://echo.epa.gov/detailed-facility-report?fid=110002541214,FLD183071851,FL,262.A,Standards Applicable to Generators of HW: General,S  ,12/20/1999,05/10/2000,01/19/2000
1569,"A & L ART AND FRAMES, INC.",28.820117,-81.330055,http://echo.epa.gov/detailed-facility-report?fid=110002541214,FLD183071851,FL,261.A,ID and Listing of HW: General,S  ,12/20/1999,02/09/2000,01/19/2000
1570,"A & L ART AND FRAMES, INC.",28.820117,-81.330055,http://echo.epa.gov/detailed-facility-report?fid=110002541214,FLD183071851,FL,262.A,Standards Applicable to Generators of HW: General,S  ,12/20/1999,01/07/2000,01/19/2000
1571,GOODYEAR AUTO SERVICE CENTER,29.663636999999998,-82.324015,http://echo.epa.gov/detailed-facility-report?fid=110002549662,FLD981757677,FL,262.A,Standards Applicable to Generators of HW: General,S  ,11/13/2009,01/04/2010,
1572,GOODYEAR AUTO SERVICE CENTER,29.663636999999998,-82.324015,http://echo.epa.gov/detailed-facility-report?fid=110002549662,FLD981757677,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/13/2009,03/17/2010,
1573,GOODYEAR AUTO SERVICE CENTER,29.663636999999998,-82.324015,http://echo.epa.gov/detailed-facility-report?fid=110002549662,FLD981757677,FL,279.C,Standards for Used Oil: Generators,S  ,11/13/2009,03/17/2010,
1574,GOODYEAR AUTO SERVICE CENTER,29.663636999999998,-82.324015,http://echo.epa.gov/detailed-facility-report?fid=110002549662,FLD981757677,FL,279.C,Standards for Used Oil: Generators,S  ,11/13/2009,12/30/2009,
1575,DANIELS PUBLISHING CO INC,28.51303,-81.39543,http://echo.epa.gov/detailed-facility-report?fid=110002553415,FLD981921109,FL,262.A,Standards Applicable to Generators of HW: General,S  ,05/11/2006,07/31/2006,
1576,JAX REMAN LLC,30.194828,-81.75091,http://echo.epa.gov/detailed-facility-report?fid=110005617172,FLD984240325,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/20/2002,07/19/2002,07/20/2002
1577,JAX REMAN LLC,30.194828,-81.75091,http://echo.epa.gov/detailed-facility-report?fid=110005617172,FLD984240325,FL,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,06/20/2002,07/19/2002,07/20/2002
1578,JAX REMAN LLC,30.194828,-81.75091,http://echo.epa.gov/detailed-facility-report?fid=110005617172,FLD984240325,FL,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,01/15/1999,08/05/1999,03/02/1999
1579,JAX REMAN LLC,30.194828,-81.75091,http://echo.epa.gov/detailed-facility-report?fid=110005617172,FLD984240325,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,06/20/2002,07/19/2002,07/20/2002
