,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
2144,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,07/25/1991,N  
2145,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/02/1991,N  
2146,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,FUI,FUI,FOLLOW-UP INSPECTION,S  ,10/29/1991,N  
2147,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,04/28/1994,N  
2148,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,02/19/1991,N  
2149,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/02/2011,Y  
2150,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/07/1997,N  
2151,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/09/1991,Y  
2152,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/24/1992,N  
2153,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,12/18/1990,Y  
2154,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,11/02/2011,Y  
2155,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,02/08/1991,N  
2156,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/04/1991,N  
2157,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,01/25/1991,N  
2158,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/27/1997,N  
2159,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,FRR,FRR,FINANCIAL RECORD REVIEW,S  ,12/30/1993,N  
2160,CANAM STEEL CORPORATION,30.323873,-81.743596,http://echo.epa.gov/detailed-facility-report?fid=110035588432,FLD982168072,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/31/1994,N  
2161,GRATE PALLET SOLUTIONS LLC,30.33375,-81.63407,http://echo.epa.gov/detailed-facility-report?fid=110043582575,FLD984225599,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/03/2011,N  
2162,GRATE PALLET SOLUTIONS LLC,30.33375,-81.63407,http://echo.epa.gov/detailed-facility-report?fid=110043582575,FLD984225599,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/26/2011,Y  
2163,BUFFALO ELECTRIC MOTOR WORKS INC,30.37074,-81.63929,http://echo.epa.gov/detailed-facility-report?fid=110005616217,FLD984238436,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/13/1994,N  
2164,BUFFALO ELECTRIC MOTOR WORKS INC,30.37074,-81.63929,http://echo.epa.gov/detailed-facility-report?fid=110005616217,FLD984238436,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/11/1992,Y  
2165,DUVAL EQUIPMENT,30.332962,-81.696185,http://echo.epa.gov/detailed-facility-report?fid=110005631682,FLR000009464,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/17/2010,Y  
2166,MORENO PAINT & BODY,30.248590000000004,-81.78359,http://echo.epa.gov/detailed-facility-report?fid=110005634992,FLR000016477,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/01/1996,N  
2167,MORENO PAINT & BODY,30.248590000000004,-81.78359,http://echo.epa.gov/detailed-facility-report?fid=110005634992,FLR000016477,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/11/1996,Y  
2168,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/23/2016,N  
2169,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/17/2003,N  
2170,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/19/2006,N  
2171,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/24/2008,N  
2172,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/13/2011,Y  
2173,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/05/2001,N  
2174,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/07/2001,Y  
2175,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/22/2007,N  
2176,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/25/2003,Y  
2177,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/01/2005,N  
2178,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/15/2012,Y  
2179,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/08/2014,N  
2180,FCC ENVIRONMENTAL LLC,30.357071,-81.627176,http://echo.epa.gov/detailed-facility-report?fid=110005642019,FLR000031393,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/21/2018,N  
2181,STANLEY CONNECTIONS,30.296428000000002,-81.610391,http://echo.epa.gov/detailed-facility-report?fid=110012540928,FLR000069898,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/18/2000,N  
2182,BRAKE DEPOT,30.39111500000001,-81.679806,http://echo.epa.gov/detailed-facility-report?fid=110013293417,FLR000087395,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/02/2004,N  
2183,BRAKE DEPOT,30.39111500000001,-81.679806,http://echo.epa.gov/detailed-facility-report?fid=110013293417,FLR000087395,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/11/2002,N  
2184,KC PETROLEUM INC,30.328383000000002,-81.632222,http://echo.epa.gov/detailed-facility-report?fid=110020488765,FLR000113845,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/04/2004,N  
2185,KC PETROLEUM INC,30.328383000000002,-81.632222,http://echo.epa.gov/detailed-facility-report?fid=110020488765,FLR000113845,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/10/2004,N  
2186,KC PETROLEUM INC,30.328383000000002,-81.632222,http://echo.epa.gov/detailed-facility-report?fid=110020488765,FLR000113845,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/04/2004,N  
2187,JOHN WALKER TAXIDERMY,28.988646999999997,-81.44091,http://echo.epa.gov/detailed-facility-report?fid=110032632239,FLR000140079,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/12/2007,N  
2188,RYDER,29.702731,-82.262134,http://echo.epa.gov/detailed-facility-report?fid=110041662894,FLR000164236,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/09/2010,Y  
2189,LAW & ASSOCIATES INC,28.527878,-81.401924,http://echo.epa.gov/detailed-facility-report?fid=110002519105,FL0000360875,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/19/1998,Y  
2190,PETROLEUM PACKERS OF JACKSONVILLE INC,30.357870000000002,-81.62676,http://echo.epa.gov/detailed-facility-report?fid=110001128770,FLD001801083,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/03/1986,Y  
2191,PURCELLS CYCLES,30.245684000000004,-81.742747,http://echo.epa.gov/detailed-facility-report?fid=110002528471,FLD032374100,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/07/2008,N  
2192,NATIONAL CLEANERS & LAUNDRY,30.3465,-81.65858,http://echo.epa.gov/detailed-facility-report?fid=110001762478,FLD981030877,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/09/1994,N  
2193,ROBERTS RECAPS,29.666753999999997,-82.33915,http://echo.epa.gov/detailed-facility-report?fid=110002547851,FLD981749138,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/27/2009,N  
2194,FLORIDA METAL POLISHING INC,28.830941999999997,-81.32558900000002,http://echo.epa.gov/detailed-facility-report?fid=110002547879,FLD981749211,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/14/1999,N  
2195,FLORIDA METAL POLISHING INC,28.830941999999997,-81.32558900000002,http://echo.epa.gov/detailed-facility-report?fid=110002547879,FLD981749211,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,05/14/1997,N  
2196,FLORIDA METAL POLISHING INC,28.830941999999997,-81.32558900000002,http://echo.epa.gov/detailed-facility-report?fid=110002547879,FLD981749211,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/17/1996,N  
2197,FLORIDA DMA FLARNG OMS #3,30.27822,-81.821113,http://echo.epa.gov/detailed-facility-report?fid=110007421021,FLD982076952,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/02/2004,N  
2198,RUBIN IRONWORKS INC,30.349190000000004,-81.64448,http://echo.epa.gov/detailed-facility-report?fid=110007426892,FLD982117608,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/07/1987,N  
2199,RUBBER & GASKET SPECIALTIES INC,30.36392,-81.637529,http://echo.epa.gov/detailed-facility-report?fid=110005274032,FLD982140410,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/16/1995,N  
2200,RUBBER & GASKET SPECIALTIES INC,30.36392,-81.637529,http://echo.epa.gov/detailed-facility-report?fid=110005274032,FLD982140410,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/27/2010,N  
2201,RUBBER & GASKET SPECIALTIES INC,30.36392,-81.637529,http://echo.epa.gov/detailed-facility-report?fid=110005274032,FLD982140410,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/26/1995,Y  
2202,RUBBER & GASKET SPECIALTIES INC,30.36392,-81.637529,http://echo.epa.gov/detailed-facility-report?fid=110005274032,FLD982140410,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/21/1995,N  
2203,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/02/2005,N  
2204,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/23/2005,N  
2205,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/10/2006,N  
2206,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/28/2007,N  
2207,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/08/2005,N  
2208,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/23/2005,N  
2209,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/03/2006,N  
2210,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/23/2005,Y  
2211,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/23/2006,N  
2212,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/27/2007,Y  
2213,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/27/2006,N  
2214,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/18/2006,N  
2215,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/03/2007,N  
2216,MIKE SHAD FORD,30.207631,-81.739953,http://echo.epa.gov/detailed-facility-report?fid=110002528667,FLD982170615,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/30/2018,N  
2217,LOAD KING MFG,30.335089,-81.674031,http://echo.epa.gov/detailed-facility-report?fid=110005592698,FLD984167015,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/23/1993,N  
2218,LOAD KING MFG,30.335089,-81.674031,http://echo.epa.gov/detailed-facility-report?fid=110005592698,FLD984167015,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/28/1988,N  
2219,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/20/2006,N  
2220,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/05/2006,Y  
2221,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,08/21/2006,N  
2222,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/21/2006,N  
2223,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/05/2006,N  
2224,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/17/2006,N  
2225,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/11/2006,N  
2226,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/18/2006,N  
2227,SOUTHERN PUMP & TANK CO,30.321960999999998,-81.73025799999998,http://echo.epa.gov/detailed-facility-report?fid=110005598692,FLD984186783,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/03/2006,N  
2228,ALACHUA COUNTY SCHOOL BOARD,29.650046999999997,-82.300465,http://echo.epa.gov/detailed-facility-report?fid=110005609430,FLD984216747,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/13/2013,N  
2229,ALACHUA COUNTY SCHOOL BOARD,29.650046999999997,-82.300465,http://echo.epa.gov/detailed-facility-report?fid=110005609430,FLD984216747,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,10/03/2012,N  
2230,"TRANSFLO TERMINAL SERVICES, INC.",28.807665000000004,-81.293083,http://echo.epa.gov/detailed-facility-report?fid=110006834079,FLD984253641,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/05/1997,N  
2231,"TRANSFLO TERMINAL SERVICES, INC.",28.807665000000004,-81.293083,http://echo.epa.gov/detailed-facility-report?fid=110006834079,FLD984253641,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/22/1996,N  
2232,"TRANSFLO TERMINAL SERVICES, INC.",28.807665000000004,-81.293083,http://echo.epa.gov/detailed-facility-report?fid=110006834079,FLD984253641,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/19/1996,N  
2233,"TRANSFLO TERMINAL SERVICES, INC.",28.807665000000004,-81.293083,http://echo.epa.gov/detailed-facility-report?fid=110006834079,FLD984253641,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/28/2011,N  
2234,"TRANSFLO TERMINAL SERVICES, INC.",28.807665000000004,-81.293083,http://echo.epa.gov/detailed-facility-report?fid=110006834079,FLD984253641,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/08/2016,N  
2235,K & K FABRICATORS,28.730633,-81.60894300000002,http://echo.epa.gov/detailed-facility-report?fid=110005626180,FLD984261388,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/05/1993,N  
2236,4 GRAPHICS,28.609863,-81.41485300000002,http://echo.epa.gov/detailed-facility-report?fid=110005631183,FLR000008557,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/14/2011,N  
2237,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/29/1998,N  
2238,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/20/1999,N  
2239,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/10/1996,Y  
2240,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/13/1998,N  
2241,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/07/1998,N  
2242,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/08/2009,Y  
2243,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/25/1998,N  
2244,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/26/1997,N  
2245,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/16/1996,N  
2246,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/27/1997,N  
2247,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/01/1999,N  
2248,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/27/1998,N  
2249,GENCOR INDUSTRIES INC,28.606989000000002,-81.420872,http://echo.epa.gov/detailed-facility-report?fid=110005635660,FLR000017921,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/25/1997,N  
2250,TAYLOR METALS,30.361944,-81.697222,http://echo.epa.gov/detailed-facility-report?fid=110005640039,FLR000027771,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/12/1997,N  
2251,TAYLOR METALS,30.361944,-81.697222,http://echo.epa.gov/detailed-facility-report?fid=110005640039,FLR000027771,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/05/1997,Y  
2252,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/31/1998,N  
2253,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/30/1999,Y  
2254,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/15/1999,N  
2255,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/11/2000,N  
2256,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/30/1999,N  
2257,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/03/1999,N  
2258,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,10/23/1997,N  
2259,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/20/1999,N  
2260,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/28/1999,N  
2261,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/09/2012,Y  
2262,"SOUTHERN DRYDOCK, INC.",29.98754000000001,-81.660794,http://echo.epa.gov/detailed-facility-report?fid=110005641341,FLR000030239,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,01/11/2000,N  
